,open,close,high,low,volume,money
2019-10-24,78.28,77.36,78.49,76.88,4164945.0,322758137.58
2019-10-25,77.37,78.12,79.0,76.86,4068391.0,316533048.16
2019-10-28,78.72,78.12,79.27,77.36,7742660.0,604019028.67
2019-10-29,79.39,84.32,85.2,79.39,19371261.0,1603393330.52
2019-10-30,83.15,81.23,84.11,80.55,11205415.0,914975168.95
2019-10-31,82.16,83.7,85.1,81.32,10577291.0,881954824.81
2019-11-01,82.68,83.85,84.96,82.0,7933019.0,665148791.51
2019-11-04,83.96,86.39,88.0,83.94,10561787.0,912307988.12
2019-11-05,87.03,87.07,89.42,86.08,11466709.0,1008198661.32
2019-11-06,87.55,85.6,87.59,85.39,7454506.0,641056831.5
2019-11-07,85.96,87.55,88.58,85.93,5892953.0,515867597.15
2019-11-08,87.64,86.65,88.39,86.26,5168488.0,450545972.59
2019-11-11,86.19,85.23,87.22,84.68,5508206.0,472893741.48
2019-11-12,84.62,87.11,87.31,84.62,6318291.0,544381396.86
2019-11-13,87.32,86.84,88.48,86.45,5771213.0,502783514.4
2019-11-14,86.69,86.88,87.52,86.29,3468004.0,302031992.68
2019-11-15,86.73,85.82,87.41,85.44,4609294.0,397221448.41
2019-11-18,86.21,89.29,90.13,86.11,8392398.0,742284810.38
2019-11-19,89.21,90.89,91.67,88.97,5866844.0,531833377.45
2019-11-20,90.71,90.44,91.37,90.12,3597156.0,326212601.09
2019-11-21,89.95,89.64,91.75,88.56,6673631.0,597711476.39
2019-11-22,89.58,87.19,89.82,86.6,6295896.0,552173535.99
2019-11-25,87.2,85.91,87.77,85.1,5385403.0,464066940.57
2019-11-26,86.4,88.13,89.32,86.36,6575457.0,577287619.08
2019-11-27,87.9,86.83,87.9,86.08,3737653.0,324715268.78
2019-11-28,86.81,87.23,87.42,86.14,2476085.0,215479761.03
2019-11-29,87.24,85.0,87.24,83.21,7778167.0,657349636.12
2019-12-02,84.62,83.53,84.71,82.97,4681830.0,391072642.84
2019-12-03,83.48,83.89,84.34,82.55,3485154.0,290826078.37
2019-12-04,83.63,84.0,84.77,83.63,2431322.0,204650013.42
2019-12-05,84.0,84.22,85.27,83.78,2796647.0,235826899.0
2019-12-06,84.14,84.37,84.71,83.66,3138272.0,264317778.63
2019-12-09,84.47,83.4,84.57,82.66,4426793.0,368076326.43
2019-12-10,83.08,83.44,83.5,82.44,2802766.0,232345918.58
2019-12-11,83.44,82.31,83.5,82.0,3165199.0,261047296.91
2019-12-12,82.2,81.86,82.47,81.84,2446057.0,200678863.93
2019-12-13,82.36,83.01,83.62,81.86,5699852.0,472453412.59
2019-12-16,83.24,84.53,84.55,82.84,4392529.0,368277448.82
2019-12-17,84.54,84.81,84.86,83.77,4310215.0,363845045.26
2019-12-18,84.51,83.45,84.59,83.28,4202740.0,352026068.59
2019-12-19,83.44,83.95,84.28,83.28,2475171.0,207306178.57
2019-12-20,83.95,83.55,84.13,83.44,2730347.0,228572213.51
2019-12-23,83.54,83.61,84.7,82.78,3433959.0,288526524.26
2019-12-24,83.55,85.05,85.58,83.45,4076514.0,346204400.28
2019-12-25,85.0,85.62,86.67,84.87,4199168.0,361028950.34
2019-12-26,85.69,85.09,85.69,84.45,2941663.0,249601031.45
2019-12-27,85.08,84.77,85.11,84.25,2988061.0,252958002.57
2019-12-30,84.62,85.2,85.27,83.65,4102941.0,347319801.2
2019-12-31,85.1,86.48,86.9,85.1,4660228.0,402395189.81
2020-01-02,87.03,86.37,87.13,85.83,5570437.0,480415279.47
2020-01-03,86.41,86.16,87.13,85.95,3771176.0,326236146.16
2020-01-06,85.55,85.16,86.07,85.1,4734226.0,404671382.58
2020-01-07,85.04,85.64,85.95,85.03,3061176.0,261869237.58
2020-01-08,85.58,84.64,85.58,84.19,3085713.0,261713544.38
2020-01-09,84.63,86.26,86.31,84.63,4458860.0,381943405.01
2020-01-10,86.27,85.84,87.0,85.19,2966065.0,254768165.97
2020-01-13,85.84,85.95,86.03,84.22,3824226.0,325735788.09
2020-01-14,86.07,85.52,86.52,85.46,2440724.0,209372269.79
2020-01-15,85.17,85.32,86.07,84.9,2438756.0,208187017.66
2020-01-16,85.32,85.2,85.68,84.95,2771317.0,236621452.68
2020-01-17,85.2,84.29,85.48,83.89,3484783.0,294681871.26
2020-01-20,84.69,85.25,85.95,83.99,4193300.0,355978461.94
2020-01-21,85.26,87.21,88.97,85.26,9732756.0,848826078.67
2020-01-22,87.59,85.26,87.6,84.45,5116018.0,436517657.76
2020-01-23,85.24,83.74,85.56,82.83,6110683.0,513026232.36
2020-02-03,75.41,76.36,80.74,75.41,7211053.0,561991120.36
2020-02-04,77.13,79.62,79.86,77.13,6652782.0,525093683.47
2020-02-05,79.56,82.78,82.86,79.3,6919674.0,561613623.71
2020-02-06,82.81,83.07,83.6,81.78,7125057.0,590280237.16
2020-02-07,83.07,81.62,83.07,80.42,5204420.0,423895023.87
2020-02-10,81.37,80.69,81.37,79.78,6844272.0,549254049.67
2020-02-11,80.5,80.94,81.23,79.63,7000375.0,562200703.98
